iter	Passed	Remaining
0	141	13982
1	142	6985
2	143	4646
3	144	3469
4	146	2781
5	147	2311
6	148	1976
7	150	1726
8	151	1528
9	152	1370
10	153	1240
11	154	1135
12	155	1043
13	157	965
14	158	897
15	159	837
16	160	784
17	166	756
18	167	714
19	169	676
20	170	641
21	171	609
22	173	579
23	174	552
24	175	526
25	176	502
26	177	479
27	178	458
28	179	438
29	179	419
30	180	402
31	181	386
32	182	371
33	183	356
34	184	343
35	185	329
36	186	317
37	187	305
38	188	294
39	189	283
40	190	273
41	190	263
42	191	253
43	192	245
44	193	236
45	194	228
46	195	220
47	196	212
48	197	205
49	198	198
50	199	191
51	199	184
52	200	178
53	201	171
54	202	165
55	203	159
56	204	154
57	205	148
58	206	143
59	207	138
60	208	133
61	209	128
62	210	123
63	210	118
64	211	114
65	212	109
66	214	105
67	214	101
68	215	97
69	216	92
70	217	88
71	218	84
72	219	81
73	220	77
74	221	73
75	222	70
76	223	66
77	224	63
78	224	59
79	225	56
80	226	53
81	227	49
82	228	46
83	229	43
84	230	40
85	231	37
86	232	34
87	233	31
88	234	28
89	235	26
90	236	23
91	237	20
92	238	17
93	239	15
94	240	12
95	241	10
96	242	7
97	242	4
98	243	2
99	244	0
